"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"758",22,"Anderson University (South Carolina)","South-Carolina",39900,70100,51,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759",23,"Columbia College (South Carolina)","South-Carolina",39200,68300,56,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760",24,"Benedict College","South-Carolina",38100,67500,61,19,"South Carolina","SC","Private","4 Year",6200,16600,22800,16600,22800
"761",25,"Columbia International University","South-Carolina",36600,66200,62,0,"South Carolina","SC","Private","4 Year",8150,23690,31840,23690,31840
"762",1,"South Dakota School of Mines and Technology","South-Dakota",66500,118500,58,92,"South Dakota","SD","Public","4 Year",8440,9779,18219,14021,22461
"763",2,"South Dakota State University","South-Dakota",50500,91900,58,18,"South Dakota","SD","Public","4 Year",7896,8764,16660,12128,20024
"764",3,"Augustana University","South-Dakota",47900,88400,54,18,"South Dakota","SD","Private","4 Year",8248,33018,41266,33018,41266
"765",4,"University of South Dakota","South-Dakota",47500,87900,56,8,"South Dakota","SD","Public","4 Year",8216,9061,17277,12425,20641
"766",5,"Dakota State University","South-Dakota",48400,84300,49,53,"South Dakota","SD","Public","4 Year",6873,9276,16149,12249,19122
"767",6,"University of Sioux Falls","South-Dakota",44400,78200,64,6,"South Dakota","SD","Private","4 Year",7350,18280,25630,18280,25630
"768",7,"Northern State University","South-Dakota",42300,77700,56,7,"South Dakota","SD","Public","4 Year",8029,8498,16527,11471,19500
"769",8,"Mount Marty College","South-Dakota",41400,76500,67,5,"South Dakota","SD","Private","4 Year",7986,27276,35262,27276,35262
"770",9,"Dakota Wesleyan University","South-Dakota",41800,75700,52,10,"South Dakota","SD","Private","4 Year",7350,27300,34650,27300,34650
"771",10,"Black Hills State University","South-Dakota",40400,72600,51,11,"South Dakota","SD","Public","4 Year",6978,8733,15711,11778,18756
"772",1,"Vanderbilt University","Tennessee",65400,119100,48,23,"Tennessee","TN","Private","4 Year",16234,49816,66050,49816,66050
"773",2,"Sewanee-The University of the South","Tennessee",53700,97800,57,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",2,"Rhodes College","Tennessee",51900,97800,46,25,"Tennessee","TN","Private","4 Year",11403,47890,59293,47890,59293
"775",4,"Christian Brothers University","Tennessee",51500,96500,60,14,"Tennessee","TN","Private","4 Year",7400,32820,40220,32820,40220
"776",5,"Baptist Memorial College of Health Sciences","Tennessee",55700,95700,90,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",6,"Tennessee Technological University","Tennessee",53100,95100,48,28,"Tennessee","TN","Public","4 Year",9736,9103,18839,25759,35495
"778",6,"The University of Tennessee-Knoxville","Tennessee",51200,95100,52,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",8,"University of Memphis","Tennessee",47200,85800,55,12,"Tennessee","TN","Public","4 Year",9975,9701,19676,21413,31388
"780",9,"Lipscomb University","Tennessee",49000,84800,59,12,"Tennessee","TN","Private","4 Year",12652,32144,44796,32144,44796
"781",10,"Southern Adventist University","Tennessee",47500,84000,67,9,"Tennessee","TN","Private","4 Year",6940,21950,28890,21950,28890
"782",11,"Fisk University","Tennessee",45300,83600,53,39,"Tennessee","TN","Private","4 Year",10790,21480,32270,21480,32270
"783",12,"Union University","Tennessee",46400,83000,59,6,"Tennessee","TN","Private","4 Year",10200,32890,43090,32890,43090
"784",13,"The University of Tennessee-Chattanooga","Tennessee",46000,82300,56,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785",14,"Trevecca Nazarene University","Tennessee",45300,81700,65,5,"Tennessee","TN","Private","4 Year",8400,25598,33998,25598,33998
"786",15,"Middle Tennessee State University","Tennessee",46500,81100,52,9,"Tennessee","TN","Public","4 Year",9436,9206,18642,28364,37800
"787",16,"Cumberland University","Tennessee",45500,81000,61,3,"Tennessee","TN","Private","4 Year",9290,22890,32180,22890,32180
"788",17,"Belmont University","Tennessee",47300,80900,47,3,"Tennessee","TN","Private","4 Year",12120,34310,46430,34310,46430
"789",18,"The University of Tennessee-Martin","Tennessee",44400,78600,58,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790",19,"Tennessee State University","Tennessee",47200,78400,68,14,"Tennessee","TN","Public","4 Year",7806,8008,15814,21364,29170
"791",20,"Freed-Hardeman University","Tennessee",43700,78200,54,9,"Tennessee","TN","Private","4 Year",8260,21950,30210,21950,30210
"792",20,"Austin Peay State University","Tennessee",44200,78200,63,10,"Tennessee","TN","Public","4 Year",10700,8411,19111,24467,35167
"793",22,"East Tennessee State University","Tennessee",43700,77300,57,8,"Tennessee","TN","Public","4 Year",8472,9277,17749,28459,36931
"794",23,"Carson-Newman University","Tennessee",42700,76500,61,5,"Tennessee","TN","Private","4 Year",8810,27900,36710,27900,36710
"795",24,"Maryville College","Tennessee",42800,75300,68,16,"Tennessee","TN","Private","4 Year",11424,34880,46304,34880,46304
"796",25,"Milligan College","Tennessee",41200,74900,63,5,"Tennessee","TN","Private","4 Year",7100,33700,40800,33700,40800
"797",1,"Rice University","Texas",71000,129500,50,45,"Texas","TX","Private","4 Year",14000,47350,61350,47350,61350
"798",2,"The King's University","Texas",63800,116500,33,0,"Texas","TX","Private","4 Year",NA,15000,15000,15000,15000
"799",3,"Texas A&M University-College Station","Texas",60600,115700,53,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",4,"The University of Texas at Austin","Texas",60700,112800,49,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801",5,"Southern Methodist University","Texas",59700,110400,46,22,"Texas","TX","Private","4 Year",16845,54493,71338,54493,71338
"802",6,"The University of Texas Health Science Center at Houston","Texas",65400,109400,80,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803",7,"Texas Tech University","Texas",56800,106500,54,22,"Texas","TX","Public","4 Year",9530,11045,20575,23495,33025
"804",8,"Texas Tech University Health Sciences Center","Texas",61300,104900,86,3,"Texas","TX","Public","4 Year",NA,7911,7911,20361,20361
"805",9,"University of Houston","Texas",56000,103900,50,24,"Texas","TX","Public","4 Year",10270,12506,22776,27956,38226
"806",10,"The University of Texas Medical Branch","Texas",61100,103100,87,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807",11,"Trinity University","Texas",54900,102900,46,27,"Texas","TX","Private","4 Year",13464,42976,56440,42976,56440
"808",12,"Baylor University","Texas",55500,101400,49,16,"Texas","TX","Private","4 Year",12595,45727,58322,45727,58322
"809",13,"Lamar University","Texas",53300,101200,57,16,"Texas","TX","Public","4 Year",8920,10192,19112,22642,31562
"810",14,"The University of Texas at Dallas","Texas",57100,100900,42,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",15,"The University of Texas Health Science Center at San Antonio","Texas",59400,100200,85,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812",16,"The University of Texas at Arlington","Texas",55400,99500,55,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813",17,"Prairie View A&M University","Texas",57800,99400,65,22,"Texas","TX","Public","4 Year",8925,10533,19458,24843,33768
"814",18,"LeTourneau University","Texas",56600,98900,53,21,"Texas","TX","Private","4 Year",9970,30210,40180,30210,40180
"815",19,"Texas Christian University","Texas",56000,98700,51,9,"Texas","TX","Private","4 Year",12804,46950,59754,46950,59754
"816",20,"Texas A&M University-Kingsville","Texas",53100,97500,63,53,"Texas","TX","Public","4 Year",8760,8462,17222,20912,29672
"817",21,"University of Dallas","Texas",53000,96400,49,16,"Texas","TX","Private","4 Year",12400,40652,53052,40652,53052
"818",22,"St. Mary's University","Texas",52900,95300,61,17,"Texas","TX","Private","4 Year",10270,30650,40920,30650,40920
"819",23,"University of Houston-Clear Lake","Texas",50700,94800,48,29,"Texas","TX","Public","4 Year",NA,8500,8500,24731,24731
"820",24,"Amberton University","Texas",52800,93600,57,0,"Texas","TX","Private","4 Year",NA,12840,12840,12840,12840
"821",25,"Southwestern University","Texas",51800,93500,51,19,"Texas","TX","Private","4 Year",12000,42000,54000,42000,54000
"822",1,"Brigham Young University-Provo","Utah",59200,108000,60,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823",2,"University of Utah","Utah",54800,102600,57,22,"Utah","UT","Public","4 Year",10262,9222,19484,29215,39477
"824",3,"Weber State University","Utah",53900,94000,60,8,"Utah","UT","Public","4 Year",6279,5831,12110,16585,22864
"825",4,"Utah State University","Utah",52400,93900,61,14,"Utah","UT","Public","4 Year",6400,7424,13824,21505,27905
"826",5,"Westminster College (Utah)","Utah",51700,92200,55,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",6,"Western Governors University","Utah",54500,91500,57,9,"Utah","UT","Private","4 Year",NA,6670,6670,6670,6670
"828",7,"Utah Valley University","Utah",51100,90600,57,12,"Utah","UT","Public","4 Year",NA,5726,5726,16296,16296
"829",8,"Southern Utah University","Utah",46400,84400,65,7,"Utah","UT","Public","4 Year",7090,6769,13859,20585,27675
"830",9,"Stevens-Henager College (Murray, Utah)","Utah",42400,76100,54,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831",10,"Independence University","Utah",40500,74100,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832",1,"Middlebury College","Vermont",60400,109800,54,19,"Vermont","VT","Private","4 Year",15530,54450,69980,54450,69980
"833",2,"University of Vermont","Vermont",53200,99400,50,22,"Vermont","VT","Public","4 Year",12462,18276,30738,42516,54978
"834",3,"Norwich University","Vermont",57000,99100,51,20,"Vermont","VT","Private","4 Year",13840,40016,53856,40016,53856
"835",4,"Saint Michael's College","Vermont",52900,98500,40,18,"Vermont","VT","Private","4 Year",12220,45375,57595,45375,57595
"836",5,"Vermont Technical College","Vermont",52400,93900,41,4,"Vermont","VT","Public","4 Year",10598,15108,25706,27780,38378
"837",6,"Bennington College","Vermont",48800,90000,50,5,"Vermont","VT","Private","4 Year",15610,54360,69970,54360,69970
"838",7,"Champlain College","Vermont",51100,88400,39,14,"Vermont","VT","Private","4 Year",15354,41010,56364,41010,56364
"839",8,"College of St Joseph","Vermont",47000,85000,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",9,"Southern Vermont College","Vermont",42900,78700,63,17,"Vermont","VT","Private","4 Year",11000,25511,36511,25511,36511
"841",10,"Goddard College","Vermont",42700,76900,NA,0,"Vermont","VT","Private","4 Year",1698,16586,18284,16586,18284
"842",11,"Castleton University","Vermont",41700,76200,52,6,"Vermont","VT","Public","4 Year",10598,12314,22912,28322,38920
"843",12,"Green Mountain College","Vermont",42000,75200,57,2,"Vermont","VT","Private","4 Year",11722,37002,48724,37002,48724
"844",13,"Lyndon State College","Vermont",41500,75100,49,8,"Vermont","VT","Public","4 Year",10598,12074,22672,25394,35992
"845",14,"Johnson State College","Vermont",39500,72100,46,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",1,"Washington and Lee University","Virginia",65900,123200,40,18,"Virginia","VA","Private","4 Year",13925,52455,66380,52455,66380
"847",2,"Virginia Military Institute","Virginia",65900,120600,68,47,"Virginia","VA","Public","4 Year",9428,18862,28290,45706,55134
"848",3,"University of Virginia-Main Campus","Virginia",64500,117500,46,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849",4,"Virginia Polytechnic Institute and State University","Virginia",62700,114000,48,42,"Virginia","VA","Public","4 Year",8934,13620,22554,31304,40238
"850",5,"College of William and Mary","Virginia",59000,108900,42,21,"Virginia","VA","Public","4 Year",12236,23400,35636,44701,56937
"851",6,"Hampden-Sydney College","Virginia",58300,108600,52,20,"Virginia","VA","Private","4 Year",13558,45746,59304,45746,59304
"852",7,"University of Richmond","Virginia",59800,107500,48,13,"Virginia","VA","Private","4 Year",12250,52610,64860,52610,64860
"853",8,"George Mason University","Virginia",58900,105700,48,23,"Virginia","VA","Public","4 Year",11460,12462,23922,35922,47382
"854",9,"James Madison University","Virginia",57400,102600,42,12,"Virginia","VA","Public","4 Year",10092,12016,22108,28416,38508
"855",10,"University of Mary Washington","Virginia",54200,98200,49,17,"Virginia","VA","Public","4 Year",11118,12188,23306,27434,38552
"856",11,"Jefferson College of Health Sciences","Virginia",55500,97600,86,1,"Virginia","VA","Private","4 Year",5870,26886,32756,26886,32756
"857",12,"Marymount University","Virginia",52300,93100,44,15,"Virginia","VA","Private","4 Year",13190,31466,44656,31466,44656
"858",13,"Hampton University","Virginia",52700,92600,61,12,"Virginia","VA","Private","4 Year",11778,26702,38480,26702,38480
"859",14,"Old Dominion University","Virginia",50200,89900,52,19,"Virginia","VA","Public","4 Year",11620,10872,22492,29772,41392
"860",15,"Lynchburg College","Virginia",47700,89100,54,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",16,"Virginia Commonwealth University","Virginia",49900,88200,52,18,"Virginia","VA","Public","4 Year",10428,14490,24918,35138,45566
"862",17,"Christopher Newport University","Virginia",50800,87200,55,25,"Virginia","VA","Public","4 Year",11460,14754,26214,27220,38680
"863",18,"Shenandoah University","Virginia",48700,86600,57,7,"Virginia","VA","Private","4 Year",10370,32530,42900,32530,42900
"864",19,"Randolph College","Virginia",47000,86100,50,23,"Virginia","VA","Private","4 Year",13580,39585,53165,39585,53165
"865",20,"Roanoke College","Virginia",48500,85100,53,18,"Virginia","VA","Private","4 Year",13690,44030,57720,44030,57720
"866",21,"Longwood University","Virginia",47300,83300,54,9,"Virginia","VA","Public","4 Year",11746,13340,25086,29300,41046
"867",22,"Radford University","Virginia",48900,82900,53,10,"Virginia","VA","Public","4 Year",9406,11210,20616,22845,32251
"868",23,"The University of Virginia's College at Wise","Virginia",46500,82600,53,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869",24,"Virginia State University","Virginia",44900,81800,61,14,"Virginia","VA","Public","4 Year",11208,9056,20264,19576,30784
"870",25,"Ferrum College","Virginia",43000,80600,54,6,"Virginia","VA","Private","4 Year",11500,34175,45675,34175,45675
"871",1,"Seattle University","Washington",60600,113700,59,12,"Washington","WA","Private","4 Year",12288,44610,56898,44610,56898
"872",2,"University of Washington-Seattle Campus","Washington",61900,112300,51,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873",3,"University of Washington-Bothell Campus","Washington",60200,108000,53,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874",4,"Gonzaga University","Washington",57800,107600,51,19,"Washington","WA","Private","4 Year",11944,43210,55154,43210,55154
"875",5,"Washington State University","Washington",55900,103700,50,20,"Washington","WA","Public","4 Year",11398,11581,22979,26365,37763
"876",6,"Seattle Pacific University","Washington",53600,103400,52,9,"Washington","WA","Private","4 Year",11796,42939,54735,42939,54735
"877",7,"Whitman College","Washington",54600,102600,53,33,"Washington","WA","Private","4 Year",13174,51764,64938,51764,64938
"878",8,"University of Puget Sound","Washington",54200,101300,45,21,"Washington","WA","Private","4 Year",12540,49776,62316,49776,62316
"879",9,"Western Washington University","Washington",55000,99300,45,16,"Washington","WA","Public","4 Year",11466,8132,19598,23544,35010
"880",10,"Pacific Lutheran University","Washington",54500,98100,53,20,"Washington","WA","Private","4 Year",10790,42066,52856,42066,52856
"881",11,"Walla Walla University","Washington",53700,97800,54,22,"Washington","WA","Private","4 Year",4275,28035,32310,28035,32310
"882",12,"University of Washington-Tacoma Campus","Washington",56000,96800,50,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",13,"City University of Seattle","Washington",51500,94600,54,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884",14,"Central Washington University","Washington",52700,93200,47,13,"Washington","WA","Public","4 Year",11115,8072,19187,23053,34168
"885",15,"Saint Martin's University","Washington",53200,91800,60,29,"Washington","WA","Private","4 Year",11445,37356,48801,37356,48801
"886",16,"Northwest University","Washington",50900,89000,51,3,"Washington","WA","Private","4 Year",8630,31540,40170,31540,40170
"887",17,"Whitworth University","Washington",49900,88800,52,18,"Washington","WA","Private","4 Year",11496,43640,55136,43640,55136
"888",18,"Bellevue College","Washington",50100,88500,56,14,"Washington","WA","Public","2 Year",NA,4258,4258,9689,9689
"889",19,"Whitworth University-Adult Degree Programs","Washington",50100,88100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890",20,"Eastern Washington University","Washington",49500,87500,52,17,"Washington","WA","Public","4 Year",12793,7323,20116,24444,37237
"891",21,"Cornish College of the Arts","Washington",49000,86400,39,0,"Washington","WA","Private","4 Year",12400,41642,54042,41642,54042
"892",22,"Bastyr University","Washington",48400,86300,NA,0,"Washington","WA","Private","4 Year",7590,26166,33756,26166,33756
"893",23,"The Evergreen State College","Washington",47500,83500,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894",24,"Clark College","Washington",43500,78400,NA,9,"Washington","WA","Public","2 Year",NA,4287,4287,9718,9718
"895",25,"Heritage University","Washington",41100,73600,NA,17,"Washington","WA","Private","4 Year",NA,18124,18124,18124,18124
"896",1,"West Virginia University Institute of Technology","West-Virginia",57100,103700,56,40,"West Virginia","WV","Public","4 Year",11390,7464,18854,18648,30038
"897",2,"West Virginia University","West-Virginia",54400,99900,52,22,"West Virginia","WV","Public","4 Year",10918,8856,19774,24950,35868
"898",3,"Alderson Broaddus University","West-Virginia",50600,90500,72,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899",4,"Shepherd University","West-Virginia",47100,87100,48,12,"West Virginia","WV","Public","4 Year",10500,7548,18048,18048,28548
"900",5,"West Virginia Wesleyan College","West-Virginia",47000,85200,53,21,"West Virginia","WV","Private","4 Year",8856,31640,40496,31640,40496
"901",6,"Bethany College (West Virginia)","West-Virginia",46000,84900,63,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902",7,"Wheeling Jesuit University","West-Virginia",44800,83400,57,5,"West Virginia","WV","Private","4 Year",9900,29290,39190,29290,39190
"903",8,"University of Charleston","West-Virginia",44600,81900,51,4,"West Virginia","WV","Private","4 Year",9180,30900,40080,30900,40080
"904",9,"Marshall University","West-Virginia",45000,79700,50,12,"West Virginia","WV","Public","4 Year",10450,8128,18578,18614,29064
"905",10,"West Liberty University","West-Virginia",42500,77000,51,6,"West Virginia","WV","Public","4 Year",9406,7730,17136,15670,25076
"906",11,"Davis & Elkins College","West-Virginia",41100,76500,43,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907",12,"West Virginia State University","West-Virginia",41800,76000,46,8,"West Virginia","WV","Public","4 Year",11892,8167,20059,16072,27964
"908",13,"Concord University","West-Virginia",41700,75800,53,9,"West Virginia","WV","Public","4 Year",8988,7896,16884,17320,26308
"909",14,"Fairmont State University","West-Virginia",42900,74100,53,7,"West Virginia","WV","Public","4 Year",9004,7514,16518,16324,25328
"910",15,"Bluefield State College","West-Virginia",43200,72800,60,3,"West Virginia","WV","Public","4 Year",NA,8820,8820,16920,16920
"911",16,"Ohio Valley University","West-Virginia",38800,71100,81,1,"West Virginia","WV","Private","4 Year",7980,21900,29880,21900,29880
"912",17,"Glenville State College","West-Virginia",37400,67700,60,3,"West Virginia","WV","Public","4 Year",NA,7327,7327,16565,16565
"913",18,"West Virginia University at Parkersburg","West-Virginia",36700,65200,67,3,"West Virginia","WV","Public","2 Year",NA,6330,6330,10920,10920
"914",1,"Milwaukee School of Engineering","Wisconsin",65700,117600,50,69,"Wisconsin","WI","Private","4 Year",10389,40749,51138,40749,51138
"915",2,"Marquette University","Wisconsin",57800,105900,52,25,"Wisconsin","WI","Private","4 Year",12720,41870,54590,41870,54590
"916",3,"University of Wisconsin-Madison","Wisconsin",57300,104400,48,33,"Wisconsin","WI","Public","4 Year",11114,10555,21669,36805,47919
"917",4,"University of Wisconsin-Platteville","Wisconsin",56800,100300,50,38,"Wisconsin","WI","Public","4 Year",7580,7571,15151,15421,23001
"918",5,"Lawrence University","Wisconsin",51500,98800,58,25,"Wisconsin","WI","Private","4 Year",10341,47475,57816,47475,57816
"919",6,"Bellin College","Wisconsin",55800,97600,94,0,"Wisconsin","WI","Private","4 Year",NA,22178,22178,22178,22178
"920",7,"University of Wisconsin-Eau Claire","Wisconsin",52100,93600,46,14,"Wisconsin","WI","Public","4 Year",7813,8820,16633,17096,24909
"921",8,"Marian University (Wisconsin)","Wisconsin",46500,90800,52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922",9,"University of Wisconsin-Milwaukee","Wisconsin",50600,90300,50,17,"Wisconsin","WI","Public","4 Year",10728,11084,21812,22364,33092
"923",10,"Ripon College","Wisconsin",46300,89600,60,26,"Wisconsin","WI","Private","4 Year",8400,43808,52208,43808,52208
"924",11,"University of Wisconsin-Stout","Wisconsin",50400,89500,47,14,"Wisconsin","WI","Public","4 Year",6924,9457,16381,17423,24347
"925",12,"University of Wisconsin-Whitewater","Wisconsin",48900,89300,44,8,"Wisconsin","WI","Public","4 Year",6786,7692,14478,16265,23051
"926",13,"Saint Norbert College","Wisconsin",49300,88700,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927",14,"University of Wisconsin-La Crosse","Wisconsin",49600,88300,53,19,"Wisconsin","WI","Public","4 Year",6331,9106,15437,17924,24255
"928",15,"Edgewood College","Wisconsin",49500,87500,54,5,"Wisconsin","WI","Private","4 Year",11020,29500,40520,29500,40520
"929",16,"Carroll University","Wisconsin",45600,86500,49,14,"Wisconsin","WI","Private","4 Year",9484,31918,41402,31918,41402
"930",17,"Beloit College","Wisconsin",47400,85700,59,24,"Wisconsin","WI","Private","4 Year",8830,50040,58870,50040,58870
"931",18,"Carthage College","Wisconsin",48900,85400,48,17,"Wisconsin","WI","Private","4 Year",11990,43550,55540,43550,55540
"932",19,"University of Wisconsin-Oshkosh","Wisconsin",47700,84300,52,10,"Wisconsin","WI","Public","4 Year",7448,8820,16268,16393,23841
"933",20,"Cardinal Stritch University","Wisconsin",47000,82500,51,2,"Wisconsin","WI","Private","4 Year",8440,29998,38438,29998,38438
"934",20,"Wisconsin Lutheran College","Wisconsin",46200,82500,45,10,"Wisconsin","WI","Private","4 Year",10190,29725,39915,29725,39915
"935",22,"Viterbo University","Wisconsin",46800,81900,62,3,"Wisconsin","WI","Private","4 Year",9060,27970,37030,27970,37030
"936",23,"Concordia University-Wisconsin","Wisconsin",46700,81600,61,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937",24,"University of Wisconsin-Parkside","Wisconsin",46000,81400,47,17,"Wisconsin","WI","Public","4 Year",8026,7529,15555,15518,23544
"938",25,"University of Wisconsin-River Falls","Wisconsin",47100,81300,52,14,"Wisconsin","WI","Public","4 Year",6513,7862,14375,15435,21948
"939",1,"University of Wyoming","Wyoming",52400,98800,58,25,"Wyoming","WY","Public","4 Year",10320,5400,15720,17490,27810
